alpha,-2,,alpha ,0,,alpha ,5,,alpha,10,,alpha,15,,alpha,17,
x,y,Cp,x,y,Cp,x,y,Cp,x,y,Cp,x,y,Cp,x,y,Cp
0.02561,-0.02556,-0.60343,0.02561,-0.02556,-0.10698,0.02561,-0.02556,0.72607,0.02561,-0.02556,0.99524,0.02561,-0.02556,0.95108,0.02561,-0.02556,0.59643
0.03073,-0.02783,-0.59814,0.03073,-0.02783,-0.13747,0.03073,-0.02783,0.66724,0.03073,-0.02783,0.97217,0.03073,-0.02783,0.98915,0.03073,-0.02783,0.75258
0.03674,-0.03028,-0.60273,0.03674,-0.03028,-0.17339,0.03674,-0.03028,0.60439,0.03674,-0.03028,0.93667,0.03674,-0.03028,1.00316,0.03674,-0.03028,0.86268
0.04383,-0.03292,-0.60598,0.04383,-0.03292,-0.20597,0.04383,-0.03292,0.54044,0.04383,-0.03292,0.89306,0.04383,-0.03292,0.99824,0.04383,-0.03292,0.93728
0.05215,-0.03575,-0.60701,0.05215,-0.03575,-0.23567,0.05215,-0.03575,0.47848,0.05215,-0.03575,0.84054,0.05215,-0.03575,0.97758,0.05215,-0.03575,0.98381
0.0618,-0.03873,-0.60568,0.0618,-0.03873,-0.26088,0.0618,-0.03873,0.41791,0.0618,-0.03873,0.78585,0.0618,-0.03873,0.94412,0.0618,-0.03873,1.00191
0.07279,-0.04181,-0.60234,0.07279,-0.04181,-0.28291,0.07279,-0.04181,0.36026,0.07279,-0.04181,0.72553,0.07279,-0.04181,0.90201,0.07279,-0.04181,1.00128
0.08498,-0.04493,-0.59994,0.08498,-0.04493,-0.30257,0.08498,-0.04493,0.30657,0.08498,-0.04493,0.66785,0.08498,-0.04493,0.85457,0.08498,-0.04493,0.98397
0.09813,-0.048,-0.59896,0.09813,-0.048,-0.32236,0.09813,-0.048,0.25604,0.09813,-0.048,0.6115,0.09813,-0.048,0.80401,0.09813,-0.048,0.95772
0.11198,-0.05096,-0.59938,0.11198,-0.05096,-0.34012,0.11198,-0.05096,0.20961,0.11198,-0.05096,0.5572,0.11198,-0.05096,0.75386,0.11198,-0.05096,0.92395
0.12635,-0.05376,-0.59936,0.12635,-0.05376,-0.35566,0.12635,-0.05376,0.168,0.12635,-0.05376,0.50619,0.12635,-0.05376,0.70497,0.12635,-0.05376,0.88846
0.1411,-0.05638,-0.59853,0.1411,-0.05638,-0.36887,0.1411,-0.05638,0.13084,0.1411,-0.05638,0.45956,0.1411,-0.05638,0.65726,0.1411,-0.05638,0.85038
0.15614,-0.05882,-0.59772,0.15614,-0.05882,-0.38037,0.15614,-0.05882,0.09734,0.15614,-0.05882,0.41744,0.15614,-0.05882,0.6125,0.15614,-0.05882,0.81194
0.17139,-0.06108,-0.59764,0.17139,-0.06108,-0.39137,0.17139,-0.06108,0.06621,0.17139,-0.06108,0.37601,0.17139,-0.06108,0.56897,0.17139,-0.06108,0.7749
0.18679,-0.06316,-0.59743,0.18679,-0.06316,-0.40125,0.18679,-0.06316,0.03801,0.18679,-0.06316,0.33897,0.18679,-0.06316,0.52926,0.18679,-0.06316,0.73761
0.20233,-0.06508,-0.59747,0.20233,-0.06508,-0.41034,0.20233,-0.06508,0.01175,0.20233,-0.06508,0.3034,0.20233,-0.06508,0.48845,0.20233,-0.06508,0.70204
0.21796,-0.06682,-0.59797,0.21796,-0.06682,-0.41908,0.21796,-0.06682,-0.01279,0.21796,-0.06682,0.27011,0.21796,-0.06682,0.45317,0.21796,-0.06682,0.66597
0.23366,-0.06839,-0.59868,0.23366,-0.06839,-0.42763,0.23366,-0.06839,-0.03617,0.23366,-0.06839,0.23882,0.23366,-0.06839,0.41557,0.23366,-0.06839,0.63227
0.24941,-0.0698,-0.59962,0.24941,-0.0698,-0.43551,0.24941,-0.0698,-0.05767,0.24941,-0.0698,0.20804,0.24941,-0.0698,0.38215,0.24941,-0.0698,0.5997
0.26519,-0.07105,-0.60092,0.26519,-0.07105,-0.44356,0.26519,-0.07105,-0.07857,0.26519,-0.07105,0.17987,0.26519,-0.07105,0.34782,0.26519,-0.07105,0.56665
0.28097,-0.07212,-0.60217,0.28097,-0.07212,-0.45098,0.28097,-0.07212,-0.09831,0.28097,-0.07212,0.15201,0.28097,-0.07212,0.31606,0.28097,-0.07212,0.5355
0.29674,-0.07303,-0.60213,0.29674,-0.07303,-0.45689,0.29674,-0.07303,-0.11619,0.29674,-0.07303,0.12744,0.29674,-0.07303,0.28636,0.29674,-0.07303,0.50518
0.31254,-0.07375,-0.6005,0.31254,-0.07375,-0.46093,0.31254,-0.07375,-0.13175,0.31254,-0.07375,0.10309,0.31254,-0.07375,0.25689,0.31254,-0.07375,0.47721
0.32837,-0.07431,-0.59723,0.32837,-0.07431,-0.46326,0.32837,-0.07431,-0.14529,0.32837,-0.07431,0.08168,0.32837,-0.07431,0.23037,0.32837,-0.07431,0.44966
0.34422,-0.07471,-0.59446,0.34422,-0.07471,-0.46557,0.34422,-0.07471,-0.15833,0.34422,-0.07471,0.06153,0.34422,-0.07471,0.20418,0.34422,-0.07471,0.42384
0.36002,-0.07496,-0.59408,0.36002,-0.07496,-0.47052,0.36002,-0.07496,-0.17369,0.36002,-0.07496,0.03843,0.36002,-0.07496,0.17613,0.36002,-0.07496,0.39532
0.37564,-0.07504,-0.5946,0.37564,-0.07504,-0.47652,0.37564,-0.07504,-0.18998,0.37564,-0.07504,0.01472,0.37564,-0.07504,0.14747,0.37564,-0.07504,0.3673
0.39109,-0.07492,-0.59137,0.39109,-0.07492,-0.47906,0.39109,-0.07492,-0.20325,0.39109,-0.07492,-0.00534,0.39109,-0.07492,0.12177,0.39109,-0.07492,0.34143
0.40643,-0.07454,-0.57935,0.40643,-0.07454,-0.47281,0.40643,-0.07454,-0.20835,0.40643,-0.07454,-0.01871,0.40643,-0.07454,0.1025,0.40643,-0.07454,0.32008
0.42185,-0.07391,-0.55915,0.42185,-0.07391,-0.45777,0.42185,-0.07391,-0.20515,0.42185,-0.07391,-0.02448,0.42185,-0.07391,0.08933,0.42185,-0.07391,0.30546
0.43744,-0.07306,-0.5364,0.43744,-0.07306,-0.43852,0.43744,-0.07306,-0.19704,0.43744,-0.07306,-0.02488,0.43744,-0.07306,0.08273,0.43744,-0.07306,0.29566
0.45323,-0.07201,-0.51558,0.45323,-0.07201,-0.41905,0.45323,-0.07201,-0.18759,0.45323,-0.07201,-0.02461,0.45323,-0.07201,0.07569,0.45323,-0.07201,0.28495
0.46916,-0.07082,-0.49837,0.46916,-0.07082,-0.40077,0.46916,-0.07082,-0.1785,0.46916,-0.07082,-0.02421,0.46916,-0.07082,0.0698,0.46916,-0.07082,0.27539
0.48514,-0.06947,-0.48433,0.48514,-0.06947,-0.38371,0.48514,-0.06947,-0.16949,0.48514,-0.06947,-0.02384,0.48514,-0.06947,0.06227,0.48514,-0.06947,0.26459
0.50117,-0.06799,-0.47242,0.50117,-0.06799,-0.36815,0.50117,-0.06799,-0.15942,0.50117,-0.06799,-0.02247,0.50117,-0.06799,0.05722,0.50117,-0.06799,0.25628
